Id,Label,Type,Author
1,eljames_fiftyshades_ch18,Doc,eljames
2,stevenson_treasure_ch2,Doc,stevenson
3,eliot_middlemarch_ch2,Doc,eliot
4,eliot_middlemarch_ch48,Doc,eliot
5,eliot_middlemarch_ch73,Doc,eliot
6,eljames_fiftyshades_ch1,Doc,eljames
7,doyle_caseofidentity,Doc,doyle
8,doyle_redheadedleague,Doc,doyle
9,doyle_scandalbohemia,Doc,doyle
10,eliot_middlemarch_ch1,Doc,eliot
11,stevenson_treasure_ch1,Doc,stevenson
12,eljames_fiftyshades_ch2,Doc,eljames
13,meyer_twilight_ch2,Doc,meyer
14,meyer_twilight_ch21,Doc,meyer
15,austen_pride_ch1,Doc,austen
16,austen_pride_ch40,Doc,austen
17,austen_pride_ch2,Doc,austen
18,austen_sense_ch1,Doc,austen
19,austen_pride_ch50,Doc,austen
20,austen_sense_ch27,Doc,austen
21,austen_sense_ch2,Doc,austen
22,barrie_peterpan_ch1,Doc,barrie
23,austen_sense_ch41,Doc,austen
24,brown_angels_ch2_4,Doc,brown
25,brown_angels_ch1,Doc,brown
26,barrie_peterpan_ch2,Doc,barrie
27,barrie_peterpan_ch15,Doc,barrie
28,meyer_twilight_ch15,Doc,meyer
29,meyer_twilight_ch1,Doc,meyer
30,brown_davinci_ch1,Doc,brown
31,brown_davinci_ch0,Doc,brown
32,brown_davinci_ch92,Doc,brown
33,brown_davinci_ch77,Doc,brown
34,conrad_secret_ch2,Doc,conrad
35,conrad_secret_ch1,Doc,conrad
36,grimms_hanselgretel,Doc,grimms
37,eljames_fiftyshades_ch23,Doc,eljames
38,lewis_lionwitch_ch2,Doc,lewis
39,lewis_lionwitch_ch14,Doc,lewis
40,lewis_lionwitch_ch12,Doc,lewis
41,lewis_lionwitch_ch1,Doc,lewis
42,grimms_wateroflife,Doc,grimms
43,grimms_snowdrop,Doc,grimms
44,Topic:make:thought:mind:years,Topic,None
45,Topic:darling:mrs:night:wendy,Topic,None
46,Topic:don:eyes:grey:christian,Topic,None
47,Topic:holmes:mr:man:street,Topic,None
48,Topic:didn:looked:asked:edward,Topic,None
49,Topic:langdon:man:felt:word,Topic,None
50,Topic:thought:cried:hook:woman,Topic,None
51,Topic:dorothea:celia:glass:sir,Topic,None
52,Topic:mr:mrs:mother:elinor,Topic,None
53,Topic:mr:verloc:vladimir:air,Topic,None
54,Topic:time:back:good:door,Topic,None
55,Topic:lucy:mr:looked:light,Topic,None
